Clid	Type	GeneCount	P-value
1	ODEP	79	0.0000
4	ODEP	63	0.0000
16	ODEP	212	0.0000
19	ODEP	59	0.0000
21	ODEP	124	0.0000
24	ODEP	102	0.0000
27	ODEP	166	0.0000
29	ODEP	78	0.0000
32	ODEP	57	0.0000
33	ODEP	88	0.0000
35	ODEP	56	0.0000
37	ODEP	168	0.0000
39	ODEP	166	0.0000
40	ODEP	122	0.0000
41	ODEP	218	0.0000
43	ODEP	131	0.0000
48	ODEP	79	0.0000
50	ODEP	100	0.0000
53	ODEP	77	0.0000
55	ODEP	267	0.0000
57	ODEP	112	0.0000
59	ODEP	67	0.0000
62	ODEP	206	0.0000
63	ODEP	55	0.0000
64	ODEP	141	0.0000
65	ODEP	158	0.0000
67	ODEP	155	0.0000
71	ODEP	83	0.0000
72	ODEP	114	0.0000
83	ODEP	172	0.0000
85	ODEP	76	0.0000
86	ODEP	86	0.0000
87	ODEP	184	0.0000
93	ODEP	76	0.0000
97	ODEP	160	0.0000
98	ODEP	129	0.0000
100	ODEP	76	0.0000
103	ODEP	218	0.0000
104	ODEP	78	0.0000
105	ODEP	169	0.0000
107	ODEP	52	0.0000
108	ODEP	161	0.0000
111	ODEP	193	0.0000
112	ODEP	147	0.0000
118	ODEP	95	0.0000
120	ODEP	86	0.0000
