GeneID	Clid	Type
SPAC1142.03c	1	ODEP
SPAC12B10.13	1	ODEP
SPAC15F9.01c	1	ODEP
SPAC1851.02	1	ODEP
SPAC19A8.03	1	ODEP
SPAC20G8.09c	1	ODEP
SPAC222.09	1	ODEP
SPAC227.05	1	ODEP
SPAC22E12.03c	1	ODEP
SPAC22F8.10c	1	ODEP
SPAC22G7.11c	1	ODEP
SPAC23A1.06c	1	ODEP
SPAC24H6.06	1	ODEP
SPAC27F1.08	1	ODEP
SPAC323.08	1	ODEP
SPAC3A12.13c	1	ODEP
SPAC513.07	1	ODEP
SPAC589.04	1	ODEP
SPAC644.17c	1	ODEP
SPAC9.07c	1	ODEP
SPAC926.06c	1	ODEP
SPAP7G5.04c	1	ODEP
SPAPB21F2.02	1	ODEP
SPAPB8E5.10	1	ODEP
SPBC1105.07c	1	ODEP
SPBC13E7.02	1	ODEP
SPBC14C8.11c	1	ODEP
SPBC1604.11	1	ODEP
SPBC1604.14c	1	ODEP
SPBC1734.16c	1	ODEP
SPBC17D1.05	1	ODEP
SPBC19C2.11c	1	ODEP
SPBC216.01c	1	ODEP
SPBC21C3.06	1	ODEP
SPBC23E6.10c	1	ODEP
SPBC26H8.06	1	ODEP
SPBC2D10.08c	1	ODEP
SPBC530.07c	1	ODEP
SPBC609.04	1	ODEP
SPBC660.07	1	ODEP
SPBC800.07c	1	ODEP
SPBP16F5.04	1	ODEP
SPBP23A10.05	1	ODEP
SPCC1183.09c	1	ODEP
SPCC16A11.13	1	ODEP
SPCC16C4.15	1	ODEP
SPCC31H12.06	1	ODEP
SPCC417.02	1	ODEP
SPCC63.11	1	ODEP
SPCP31B10.08c	1	ODEP
YOL059W	1	ODEP
YOL156W	1	ODEP
YPL279C	1	ODEP
YPR193C	1	ODEP
SPAC19D5.02c	1	ODEP
SPAC7D4.15c	1	ODEP
SPBC18H10.03	1	ODEP
YBR240C	1	ODEP
YFL013C	1	ODEP
YIL160C	1	ODEP
YJL065C	1	ODEP
YJR111C	1	ODEP
YNL278W	1	ODEP
YOL082W	1	ODEP
SPAC25A8.01c	1	ODEP
SPBC106.12c	1	ODEP
SPBC19G7.06	1	ODEP
SPCC1494.07	1	ODEP
SPCC1682.14	1	ODEP
YOR389W	1	ODEP
SPAC1142.04	1	ODEP
SPBC1198.09	1	ODEP
SPBC215.15	1	ODEP
SPBC9B6.10	1	ODEP
SPBC26H8.13c	1	ODEP
SPCC1020.06c	1	ODEP
SPCC794.03	1	ODEP
YGL194C	1	ODEP
SPAC13C5.05c	1	ODEP
SPAC10F6.17c	4	ODEP
SPAC1142.07c	4	ODEP
SPAC13F5.06c	4	ODEP
SPAC1952.16	4	ODEP
SPAC23H3.15c	4	ODEP
SPAC25B8.15c	4	ODEP
SPAC26F1.08c	4	ODEP
SPAC29B12.05c	4	ODEP
SPAC29E6.10c	4	ODEP
SPAC328.05	4	ODEP
SPAC3A11.05c	4	ODEP
SPAC3A12.12	4	ODEP
SPAC4A8.07c	4	ODEP
SPAC56F8.05c	4	ODEP
SPAC57A10.04	4	ODEP
SPAC589.02c	4	ODEP
SPAC630.13c	4	ODEP
SPAC664.14	4	ODEP
SPAC688.09	4	ODEP
SPAC6G10.03c	4	ODEP
SPAP14E8.04	4	ODEP
SPAPB1A10.13	4	ODEP
SPAPB2B4.02	4	ODEP
SPBC119.12	4	ODEP
SPBC11B10.03	4	ODEP
SPBC1347.11	4	ODEP
SPBC13E7.09	4	ODEP
SPBC1539.03c	4	ODEP
SPBC1711.04	4	ODEP
SPBC1711.06	4	ODEP
SPBC1711.09c	4	ODEP
SPBC18H10.15	4	ODEP
SPBC1A4.09	4	ODEP
SPBC21C3.17c	4	ODEP
SPBC2F12.09c	4	ODEP
SPBC2G2.16	4	ODEP
SPBC31F10.17c	4	ODEP
SPBC32H8.06	4	ODEP
SPBC409.06	4	ODEP
