Clid	Samples	TimePoint	Value	Type	Min	Max
1	285	D2	0.164479	ODEP	0.109477	0.551182
1	285	D5	0.200678	ODEP	0.109477	0.551182
1	285	D14	0.139420	ODEP	0.109477	0.551182
1	BM45	D2	0.244353	ODEP	0.109477	0.551182
1	BM45	D5	0.276313	ODEP	0.109477	0.551182
1	BM45	D14	0.109477	ODEP	0.109477	0.551182
1	DV10	D2	0.204790	ODEP	0.109477	0.551182
1	DV10	D5	0.551182	ODEP	0.109477	0.551182
1	DV10	D14	0.231820	ODEP	0.109477	0.551182
1	EC1118	D2	0.256767	ODEP	0.109477	0.551182
1	EC1118	D5	0.337095	ODEP	0.109477	0.551182
1	EC1118	D14	0.205651	ODEP	0.109477	0.551182
1	VIN13	D2	0.170495	ODEP	0.109477	0.551182
1	VIN13	D5	0.291864	ODEP	0.109477	0.551182
1	VIN13	D14	0.172061	ODEP	0.109477	0.551182
4	285	D2	0.194921	ODEP	0.194921	0.361538
4	285	D5	0.255480	ODEP	0.194921	0.361538
4	285	D14	0.209271	ODEP	0.194921	0.361538
4	BM45	D2	0.220501	ODEP	0.194921	0.361538
4	BM45	D5	0.357952	ODEP	0.194921	0.361538
4	BM45	D14	0.202421	ODEP	0.194921	0.361538
4	DV10	D2	0.222185	ODEP	0.194921	0.361538
4	DV10	D5	0.361538	ODEP	0.194921	0.361538
4	DV10	D14	0.256618	ODEP	0.194921	0.361538
4	EC1118	D2	0.219303	ODEP	0.194921	0.361538
4	EC1118	D5	0.257377	ODEP	0.194921	0.361538
4	EC1118	D14	0.334088	ODEP	0.194921	0.361538
4	VIN13	D2	0.197794	ODEP	0.194921	0.361538
4	VIN13	D5	0.276582	ODEP	0.194921	0.361538
4	VIN13	D14	0.218442	ODEP	0.194921	0.361538
16	285	D2	0.266513	ODEP	0.082158	0.406962
16	285	D5	0.283633	ODEP	0.082158	0.406962
16	285	D14	0.100462	ODEP	0.082158	0.406962
16	BM45	D2	0.267511	ODEP	0.082158	0.406962
16	BM45	D5	0.320575	ODEP	0.082158	0.406962
16	BM45	D14	0.082158	ODEP	0.082158	0.406962
16	DV10	D2	0.284742	ODEP	0.082158	0.406962
16	DV10	D5	0.406962	ODEP	0.082158	0.406962
16	DV10	D14	0.117199	ODEP	0.082158	0.406962
16	EC1118	D2	0.303618	ODEP	0.082158	0.406962
16	EC1118	D5	0.288377	ODEP	0.082158	0.406962
16	EC1118	D14	0.139240	ODEP	0.082158	0.406962
16	VIN13	D2	0.302445	ODEP	0.082158	0.406962
16	VIN13	D5	0.310093	ODEP	0.082158	0.406962
16	VIN13	D14	0.120644	ODEP	0.082158	0.406962
19	285	D2	0.153818	ODEP	0.153818	0.516075
19	285	D5	0.190456	ODEP	0.153818	0.516075
19	285	D14	0.200892	ODEP	0.153818	0.516075
19	BM45	D2	0.184668	ODEP	0.153818	0.516075
19	BM45	D5	0.211927	ODEP	0.153818	0.516075
19	BM45	D14	0.226908	ODEP	0.153818	0.516075
19	DV10	D2	0.198955	ODEP	0.153818	0.516075
19	DV10	D5	0.516075	ODEP	0.153818	0.516075
19	DV10	D14	0.241442	ODEP	0.153818	0.516075
19	EC1118	D2	0.239558	ODEP	0.153818	0.516075
19	EC1118	D5	0.261994	ODEP	0.153818	0.516075
19	EC1118	D14	0.274892	ODEP	0.153818	0.516075
19	VIN13	D2	0.203120	ODEP	0.153818	0.516075
19	VIN13	D5	0.253392	ODEP	0.153818	0.516075
