GeneID	Clid	Samples	TimePoint	Value	Type
SPAC1142.03c_285	1	285	D2	0.175510	ODEP
SPAC1142.03c_285	1	285	D5	0.120814	ODEP
SPAC1142.03c_285	1	285	D14	0.118961	ODEP
SPAC12B10.13_285	1	285	D2	0.244037	ODEP
SPAC12B10.13_285	1	285	D5	0.247479	ODEP
SPAC12B10.13_285	1	285	D14	0.134197	ODEP
SPAC15F9.01c_285	1	285	D2	0.123240	ODEP
SPAC15F9.01c_285	1	285	D5	0.111452	ODEP
SPAC15F9.01c_285	1	285	D14	0.265792	ODEP
SPAC1851.02_285	1	285	D2	0.185553	ODEP
SPAC1851.02_285	1	285	D5	0.155171	ODEP
SPAC1851.02_285	1	285	D14	0.258077	ODEP
SPAC19A8.03_285	1	285	D2	0.299464	ODEP
SPAC19A8.03_285	1	285	D5	0.188612	ODEP
SPAC19A8.03_285	1	285	D14	0.139993	ODEP
SPAC20G8.09c_285	1	285	D2	0.169759	ODEP
SPAC20G8.09c_285	1	285	D5	0.301530	ODEP
SPAC20G8.09c_285	1	285	D14	0.224905	ODEP
SPAC222.09_285	1	285	D2	0.174412	ODEP
SPAC222.09_285	1	285	D5	0.099997	ODEP
SPAC222.09_285	1	285	D14	0.091663	ODEP
SPAC227.05_285	1	285	D2	0.153724	ODEP
SPAC227.05_285	1	285	D5	0.229429	ODEP
SPAC227.05_285	1	285	D14	0.093547	ODEP
SPAC22E12.03c_285	1	285	D2	0.185814	ODEP
SPAC22E12.03c_285	1	285	D5	0.183427	ODEP
SPAC22E12.03c_285	1	285	D14	0.085253	ODEP
SPAC22F8.10c_285	1	285	D2	0.246823	ODEP
SPAC22F8.10c_285	1	285	D5	0.139670	ODEP
SPAC22F8.10c_285	1	285	D14	0.107409	ODEP
SPAC22G7.11c_285	1	285	D2	0.204782	ODEP
SPAC22G7.11c_285	1	285	D5	0.103874	ODEP
SPAC22G7.11c_285	1	285	D14	0.220809	ODEP
SPAC23A1.06c_285	1	285	D2	0.234956	ODEP
SPAC23A1.06c_285	1	285	D5	0.232301	ODEP
SPAC23A1.06c_285	1	285	D14	0.155667	ODEP
