GeneID	Clid	Samples	TimePoint	Value	Type
SPAC1142.03c_285	1	285	D2	2.410530	ODEP
SPAC1142.03c_285	1	285	D5	1.659314	ODEP
SPAC1142.03c_285	1	285	D14	1.633860	ODEP
SPAC12B10.13_285	1	285	D2	2.633547	ODEP
SPAC12B10.13_285	1	285	D5	2.670688	ODEP
SPAC12B10.13_285	1	285	D14	1.448195	ODEP
SPAC15F9.01c_285	1	285	D2	1.510855	ODEP
SPAC15F9.01c_285	1	285	D5	1.366351	ODEP
SPAC15F9.01c_285	1	285	D14	3.258471	ODEP
SPAC1851.02_285	1	285	D2	2.640805	ODEP
SPAC1851.02_285	1	285	D5	2.208409	ODEP
SPAC1851.02_285	1	285	D14	3.672970	ODEP
SPAC19A8.03_285	1	285	D2	6.355583	ODEP
SPAC19A8.03_285	1	285	D5	4.002947	ODEP
SPAC19A8.03_285	1	285	D14	2.971105	ODEP
SPAC20G8.09c_285	1	285	D2	1.221975	ODEP
SPAC20G8.09c_285	1	285	D5	2.170497	ODEP
SPAC20G8.09c_285	1	285	D14	1.618927	ODEP
SPAC222.09_285	1	285	D2	3.866383	ODEP
SPAC222.09_285	1	285	D5	2.216730	ODEP
SPAC222.09_285	1	285	D14	2.031987	ODEP
SPAC227.05_285	1	285	D2	2.295223	ODEP
SPAC227.05_285	1	285	D5	3.425547	ODEP
SPAC227.05_285	1	285	D14	1.396734	ODEP
SPAC22E12.03c_285	1	285	D2	3.196787	ODEP
SPAC22E12.03c_285	1	285	D5	3.155715	ODEP
SPAC22E12.03c_285	1	285	D14	1.466715	ODEP
SPAC22F8.10c_285	1	285	D2	3.133382	ODEP
SPAC22F8.10c_285	1	285	D5	1.773093	ODEP
SPAC22F8.10c_285	1	285	D14	1.363541	ODEP
SPAC22G7.11c_285	1	285	D2	2.923542	ODEP
SPAC22G7.11c_285	1	285	D5	1.482937	ODEP
SPAC22G7.11c_285	1	285	D14	3.152340	ODEP
SPAC23A1.06c_285	1	285	D2	2.370310	ODEP
SPAC23A1.06c_285	1	285	D5	2.343523	ODEP
SPAC23A1.06c_285	1	285	D14	1.570419	ODEP
SPAC24H6.06_285	1	285	D2	3.050463	ODEP
SPAC24H6.06_285	1	285	D5	3.285415	ODEP
SPAC24H6.06_285	1	285	D14	1.508216	ODEP
SPAC27F1.08_285	1	285	D2	2.452027	ODEP
SPAC27F1.08_285	1	285	D5	2.187901	ODEP
SPAC27F1.08_285	1	285	D14	3.109735	ODEP
SPAC323.08_285	1	285	D2	2.018429	ODEP
SPAC323.08_285	1	285	D5	1.342316	ODEP
SPAC323.08_285	1	285	D14	1.386436	ODEP
SPAC3A12.13c_285	1	285	D2	8.883280	ODEP
SPAC3A12.13c_285	1	285	D5	3.966507	ODEP
SPAC3A12.13c_285	1	285	D14	4.845705	ODEP
SPAC513.07_285	1	285	D2	4.627799	ODEP
SPAC513.07_285	1	285	D5	1.901294	ODEP
SPAC513.07_285	1	285	D14	1.780949	ODEP
SPAC589.04_285	1	285	D2	2.329723	ODEP
SPAC589.04_285	1	285	D5	2.033055	ODEP
SPAC589.04_285	1	285	D14	3.389968	ODEP
SPAC644.17c_285	1	285	D2	4.546853	ODEP
SPAC644.17c_285	1	285	D5	2.357152	ODEP
SPAC644.17c_285	1	285	D14	1.401799	ODEP
SPAC9.07c_285	1	285	D2	4.218185	ODEP
SPAC9.07c_285	1	285	D5	3.079810	ODEP
SPAC9.07c_285	1	285	D14	1.286450	ODEP
SPAC926.06c_285	1	285	D2	6.004020	ODEP
SPAC926.06c_285	1	285	D5	1.790719	ODEP
SPAC926.06c_285	1	285	D14	2.313194	ODEP
SPAP7G5.04c_285	1	285	D2	5.079990	ODEP
SPAP7G5.04c_285	1	285	D5	4.210911	ODEP
SPAP7G5.04c_285	1	285	D14	3.646465	ODEP
SPAPB21F2.02_285	1	285	D2	1.790020	ODEP
SPAPB21F2.02_285	1	285	D5	1.501787	ODEP
SPAPB21F2.02_285	1	285	D14	1.322634	ODEP
SPAPB8E5.10_285	1	285	D2	2.022985	ODEP
SPAPB8E5.10_285	1	285	D5	1.735237	ODEP
SPAPB8E5.10_285	1	285	D14	1.411111	ODEP
SPBC1105.07c_285	1	285	D2	2.086888	ODEP
SPBC1105.07c_285	1	285	D5	3.391262	ODEP
SPBC1105.07c_285	1	285	D14	1.554975	ODEP
SPBC13E7.02_285	1	285	D2	1.801476	ODEP
SPBC13E7.02_285	1	285	D5	4.026380	ODEP
SPBC13E7.02_285	1	285	D14	3.373034	ODEP
SPBC14C8.11c_285	1	285	D2	4.170980	ODEP
SPBC14C8.11c_285	1	285	D5	5.269789	ODEP
SPBC14C8.11c_285	1	285	D14	5.873535	ODEP
SPBC1604.11_285	1	285	D2	5.364188	ODEP
SPBC1604.11_285	1	285	D5	4.351891	ODEP
SPBC1604.11_285	1	285	D14	7.378370	ODEP
SPBC1604.14c_285	1	285	D2	7.758490	ODEP
SPBC1604.14c_285	1	285	D5	5.943257	ODEP
SPBC1604.14c_285	1	285	D14	5.788425	ODEP
SPBC1734.16c_285	1	285	D2	3.241213	ODEP
SPBC1734.16c_285	1	285	D5	1.245003	ODEP
SPBC1734.16c_285	1	285	D14	1.202695	ODEP
SPBC17D1.05_285	1	285	D2	3.212177	ODEP
SPBC17D1.05_285	1	285	D5	3.319435	ODEP
SPBC17D1.05_285	1	285	D14	1.509205	ODEP
SPBC19C2.11c_285	1	285	D2	1.360434	ODEP
SPBC19C2.11c_285	1	285	D5	2.070099	ODEP
SPBC19C2.11c_285	1	285	D14	2.369233	ODEP
SPBC216.01c_285	1	285	D2	3.170623	ODEP
SPBC216.01c_285	1	285	D5	2.774486	ODEP
SPBC216.01c_285	1	285	D14	3.111553	ODEP
SPBC21C3.06_285	1	285	D2	1.966793	ODEP
SPBC21C3.06_285	1	285	D5	3.512567	ODEP
SPBC21C3.06_285	1	285	D14	1.707844	ODEP
SPBC23E6.10c_285	1	285	D2	3.074363	ODEP
SPBC23E6.10c_285	1	285	D5	1.537651	ODEP
SPBC23E6.10c_285	1	285	D14	1.517875	ODEP
SPBC26H8.06_285	1	285	D2	3.711951	ODEP
SPBC26H8.06_285	1	285	D5	3.026377	ODEP
SPBC26H8.06_285	1	285	D14	1.373383	ODEP
SPBC2D10.08c_285	1	285	D2	5.918423	ODEP
SPBC2D10.08c_285	1	285	D5	3.326961	ODEP
SPBC2D10.08c_285	1	285	D14	6.405893	ODEP
SPBC530.07c_285	1	285	D2	1.460807	ODEP
SPBC530.07c_285	1	285	D5	1.650833	ODEP
SPBC530.07c_285	1	285	D14	1.512424	ODEP
SPBC609.04_285	1	285	D2	3.567954	ODEP
SPBC609.04_285	1	285	D5	2.979473	ODEP
