Clid	Samples	TimePoint	Value	Type	Min	Max
12	285	D2	0.451907	SEP	0.000000	0.600000
12	285	D5	0.101017	SEP	0.000000	0.600000
12	285	D14	0.037888	SEP	0.000000	0.600000
12	BM45	D2	0.392814	SEP	0.000000	0.600000
12	BM45	D5	0.124303	SEP	0.000000	0.600000
12	BM45	D14	0.030230	SEP	0.000000	0.600000
12	DV10	D2	0.421399	SEP	0.000000	0.600000
12	DV10	D5	0.112195	SEP	0.000000	0.600000
12	DV10	D14	0.040052	SEP	0.000000	0.600000
12	EC1118	D2	0.430302	SEP	0.000000	0.600000
12	EC1118	D5	0.091136	SEP	0.000000	0.600000
12	EC1118	D14	0.041204	SEP	0.000000	0.600000
12	VIN13	D2	0.459920	SEP	0.000000	0.600000
12	VIN13	D5	0.116799	SEP	0.000000	0.600000
12	VIN13	D14	0.037031	SEP	0.000000	0.600000
