GeneID	Clid	Samples	TimePoint	Value	Type
SPAC27E2.11c_285	12	285	D2	0.301441	SEP
SPAC27E2.11c_285	12	285	D5	0.099813	SEP
SPAC27E2.11c_285	12	285	D14	0.082834	SEP
SPBC409.09c_285	12	285	D2	0.493029	SEP
SPBC409.09c_285	12	285	D5	0.163893	SEP
SPBC409.09c_285	12	285	D14	0.113437	SEP
YAL007C_285	12	285	D2	0.388142	SEP
YAL007C_285	12	285	D5	0.099748	SEP
YAL007C_285	12	285	D14	0.037914	SEP
YAR075W_285	12	285	D2	0.308388	SEP
YAR075W_285	12	285	D5	0.050133	SEP
YAR075W_285	12	285	D14	0.049815	SEP
YBR038W_285	12	285	D2	0.354560	SEP
YBR038W_285	12	285	D5	0.092785	SEP
YBR038W_285	12	285	D14	0.060299	SEP
YBR084W_285	12	285	D2	0.436376	SEP
YBR084W_285	12	285	D5	0.075339	SEP
YBR084W_285	12	285	D14	0.030837	SEP
YBR115C_285	12	285	D2	0.392343	SEP
YBR115C_285	12	285	D5	0.095754	SEP
YBR115C_285	12	285	D14	0.054649	SEP
YBR189W_285	12	285	D2	0.434158	SEP
YBR189W_285	12	285	D5	0.092703	SEP
YBR189W_285	12	285	D14	0.018834	SEP
YBR249C_285	12	285	D2	0.443765	SEP
YBR249C_285	12	285	D5	0.083673	SEP
YBR249C_285	12	285	D14	0.020637	SEP
YBR252W_285	12	285	D2	0.588897	SEP
YBR252W_285	12	285	D5	0.106521	SEP
YBR252W_285	12	285	D14	0.013486	SEP
YCR034W_285	12	285	D2	0.576410	SEP
YCR034W_285	12	285	D5	0.056402	SEP
YCR034W_285	12	285	D14	0.012251	SEP
YCR087C-A_285	12	285	D2	0.484698	SEP
YCR087C-A_285	12	285	D5	0.091423	SEP
YCR087C-A_285	12	285	D14	0.027396	SEP
YDL003W_285	12	285	D2	0.321593	SEP
YDL003W_285	12	285	D5	0.018247	SEP
YDL003W_285	12	285	D14	0.008461	SEP
YDL037C_285	12	285	D2	0.157754	SEP
YDL037C_285	12	285	D5	0.082062	SEP
YDL037C_285	12	285	D14	0.032271	SEP
YDL038C_285	12	285	D2	0.437055	SEP
YDL038C_285	12	285	D5	0.059456	SEP
YDL038C_285	12	285	D14	0.025674	SEP
YDL039C_285	12	285	D2	0.400968	SEP
YDL039C_285	12	285	D5	0.060452	SEP
YDL039C_285	12	285	D14	0.026032	SEP
YDL082W_285	12	285	D2	0.488252	SEP
YDL082W_285	12	285	D5	0.084162	SEP
YDL082W_285	12	285	D14	0.017487	SEP
YDL085C-A_285	12	285	D2	0.572588	SEP
YDL085C-A_285	12	285	D5	0.022326	SEP
YDL085C-A_285	12	285	D14	0.055437	SEP
YDL130W_285	12	285	D2	0.493671	SEP
YDL130W_285	12	285	D5	0.102447	SEP
YDL130W_285	12	285	D14	0.026076	SEP
YDL131W_285	12	285	D2	0.399471	SEP
YDL131W_285	12	285	D5	0.065760	SEP
YDL131W_285	12	285	D14	0.025233	SEP
YDL210W_285	12	285	D2	0.577179	SEP
YDL210W_285	12	285	D5	0.040357	SEP
YDL210W_285	12	285	D14	0.031453	SEP
YDL219W_285	12	285	D2	0.366249	SEP
YDL219W_285	12	285	D5	0.078578	SEP
YDL219W_285	12	285	D14	0.029029	SEP
YDR023W_285	12	285	D2	0.466620	SEP
YDR023W_285	12	285	D5	0.095700	SEP
YDR023W_285	12	285	D14	0.029382	SEP
YDR025W_285	12	285	D2	0.501432	SEP
YDR025W_285	12	285	D5	0.128342	SEP
YDR025W_285	12	285	D14	0.050975	SEP
YDR037W_285	12	285	D2	0.432055	SEP
YDR037W_285	12	285	D5	0.090622	SEP
YDR037W_285	12	285	D14	0.025259	SEP
YDR119W_285	12	285	D2	0.418889	SEP
YDR119W_285	12	285	D5	0.090516	SEP
YDR119W_285	12	285	D14	0.018560	SEP
YDR144C_285	12	285	D2	0.468518	SEP
YDR144C_285	12	285	D5	0.052255	SEP
YDR144C_285	12	285	D14	0.002246	SEP
YDR146C_285	12	285	D2	0.247122	SEP
YDR146C_285	12	285	D5	0.076467	SEP
YDR146C_285	12	285	D14	0.058099	SEP
YDR226W_285	12	285	D2	0.500666	SEP
YDR226W_285	12	285	D5	0.079482	SEP
YDR226W_285	12	285	D14	0.019508	SEP
YDR380W_285	12	285	D2	0.443027	SEP
YDR380W_285	12	285	D5	0.031287	SEP
YDR380W_285	12	285	D14	0.119299	SEP
YDR518W_285	12	285	D2	0.482662	SEP
YDR518W_285	12	285	D5	0.103943	SEP
YDR518W_285	12	285	D14	0.051382	SEP
YEL054C_285	12	285	D2	0.480320	SEP
YEL054C_285	12	285	D5	0.092468	SEP
YEL054C_285	12	285	D14	0.016296	SEP
YEL066W_285	12	285	D2	0.615722	SEP
YEL066W_285	12	285	D5	0.117061	SEP
YEL066W_285	12	285	D14	0.025069	SEP
YER056C-A_285	12	285	D2	0.451856	SEP
YER056C-A_285	12	285	D5	0.107908	SEP
YER056C-A_285	12	285	D14	0.040433	SEP
YER070W_285	12	285	D2	0.386187	SEP
YER070W_285	12	285	D5	0.061814	SEP
YER070W_285	12	285	D14	0.031099	SEP
YER102W_285	12	285	D2	0.452380	SEP
YER102W_285	12	285	D5	0.088015	SEP
YER102W_285	12	285	D14	0.011398	SEP
YER131W_285	12	285	D2	0.470706	SEP
YER131W_285	12	285	D5	0.062099	SEP
YER131W_285	12	285	D14	0.027353	SEP
YFR032C-A_285	12	285	D2	0.427660	SEP
YFR032C-A_285	12	285	D5	0.085789	SEP
YFR032C-A_285	12	285	D14	0.036138	SEP
YGL021W_285	12	285	D2	0.360925	SEP
YGL021W_285	12	285	D5	0.079128	SEP
YGL021W_285	12	285	D14	0.040007	SEP
YGL031C_285	12	285	D2	0.443534	SEP
YGL031C_285	12	285	D5	0.110609	SEP
YGL031C_285	12	285	D14	0.051535	SEP
YGL105W_285	12	285	D2	0.433855	SEP
YGL105W_285	12	285	D5	0.112795	SEP
YGL105W_285	12	285	D14	0.050918	SEP
YGL147C_285	12	285	D2	0.453659	SEP
YGL147C_285	12	285	D5	0.041259	SEP
YGL147C_285	12	285	D14	0.031411	SEP
YGL202W_285	12	285	D2	0.410170	SEP
YGL202W_285	12	285	D5	0.081635	SEP
YGL202W_285	12	285	D14	0.025949	SEP
YGL253W_285	12	285	D2	0.461812	SEP
YGL253W_285	12	285	D5	0.045933	SEP
YGL253W_285	12	285	D14	0.014493	SEP
YGR034W_285	12	285	D2	0.483746	SEP
YGR034W_285	12	285	D5	0.073594	SEP
YGR034W_285	12	285	D14	0.039377	SEP
YGR108W_285	12	285	D2	0.392912	SEP
