GeneID	Clid	Samples	TimePoint	Value	Type
SPAC27E2.11c_285	12	285	D2	8.768007	SEP
SPAC27E2.11c_285	12	285	D5	2.903253	SEP
SPAC27E2.11c_285	12	285	D14	2.409405	SEP
SPBC409.09c_285	12	285	D2	7.089907	SEP
SPBC409.09c_285	12	285	D5	2.356823	SEP
SPBC409.09c_285	12	285	D14	1.631252	SEP
YAL007C_285	12	285	D2	2046.293333	SEP
YAL007C_285	12	285	D5	525.872667	SEP
YAL007C_285	12	285	D14	199.883000	SEP
YAR075W_285	12	285	D2	1125.851129	SEP
YAR075W_285	12	285	D5	183.022913	SEP
YAR075W_285	12	285	D14	181.862707	SEP
YBR038W_285	12	285	D2	246.154333	SEP
YBR038W_285	12	285	D5	64.415967	SEP
YBR038W_285	12	285	D14	41.862700	SEP
YBR084W_285	12	285	D2	1511.513333	SEP
YBR084W_285	12	285	D5	260.958333	SEP
YBR084W_285	12	285	D14	106.811400	SEP
YBR115C_285	12	285	D2	1569.263333	SEP
YBR115C_285	12	285	D5	382.991667	SEP
YBR115C_285	12	285	D14	218.581000	SEP
YBR189W_285	12	285	D2	6311.186667	SEP
YBR189W_285	12	285	D5	1347.590000	SEP
YBR189W_285	12	285	D14	273.786500	SEP
YBR249C_285	12	285	D2	2360.583333	SEP
YBR249C_285	12	285	D5	445.091667	SEP
YBR249C_285	12	285	D14	109.777450	SEP
YBR252W_285	12	285	D2	2262.170000	SEP
YBR252W_285	12	285	D5	409.186000	SEP
YBR252W_285	12	285	D14	51.806300	SEP
YCR034W_285	12	285	D2	2291.753333	SEP
YCR034W_285	12	285	D5	224.250000	SEP
YCR034W_285	12	285	D14	48.708500	SEP
YCR087C-A_285	12	285	D2	1459.806667	SEP
YCR087C-A_285	12	285	D5	275.346000	SEP
YCR087C-A_285	12	285	D14	82.510950	SEP
YDL003W_285	12	285	D2	562.173333	SEP
YDL003W_285	12	285	D5	31.896600	SEP
YDL003W_285	12	285	D14	14.790200	SEP
YDL037C_285	12	285	D2	83.000887	SEP
YDL037C_285	12	285	D5	43.176200	SEP
YDL037C_285	12	285	D14	16.979285	SEP
YDL038C_285	12	285	D2	2802.130000	SEP
YDL038C_285	12	285	D5	381.198333	SEP
YDL038C_285	12	285	D14	164.604500	SEP
YDL039C_285	12	285	D2	4337.806667	SEP
YDL039C_285	12	285	D5	653.994333	SEP
YDL039C_285	12	285	D14	281.620500	SEP
YDL082W_285	12	285	D2	5673.230000	SEP
YDL082W_285	12	285	D5	977.921333	SEP
YDL082W_285	12	285	D14	203.190000	SEP
YDL085C-A_285	12	285	D2	430.936000	SEP
YDL085C-A_285	12	285	D5	16.802567	SEP
YDL085C-A_285	12	285	D14	41.722350	SEP
YDL130W_285	12	285	D2	6952.406667	SEP
YDL130W_285	12	285	D5	1442.773333	SEP
YDL130W_285	12	285	D14	367.223500	SEP
YDL131W_285	12	285	D2	2956.726667	SEP
YDL131W_285	12	285	D5	486.727000	SEP
YDL131W_285	12	285	D14	186.762000	SEP
YDL210W_285	12	285	D2	679.745333	SEP
YDL210W_285	12	285	D5	47.528733	SEP
YDL210W_285	12	285	D14	37.042350	SEP
YDL219W_285	12	285	D2	869.239667	SEP
